id,uri,title,published,isbn,author
GBA647310,http://bnb.data.bl.uk/id/resource/013419921,The lost pubs of Bath,2005,0954613848,Andrew Swift
GB8502633,http://bnb.data.bl.uk/id/resource/011392867,Exploring Bath,1984,1850260028,Keith Dallimore
GBB272924,http://bnb.data.bl.uk/id/resource/016131527,Georgian Bath,2012,1445609592,Pat Dargan
GB9842066,http://bnb.data.bl.uk/id/resource/009482004,"Bath entertain'd : amusements, recreations and gambling at the 18th-century spa",1998,0952632616,Trevor Fawcett
GBA522699,http://bnb.data.bl.uk/id/resource/013135395,The little book of Bath,2003,0711724334,Gill Knappett
GB7001541,http://bnb.data.bl.uk/id/resource/012239918,Roman Bath,1969,0854310002,Barry W. Cunliffe
GBA3V0262,http://bnb.data.bl.uk/id/resource/010337725,Bath,2003,0300101775,Michael Forsyth
GB7119945,http://bnb.data.bl.uk/id/resource/009935070,Bath: walks within the walls : a study of Bath as a built-form taken over by other uses,1971,0239001044,Peter Smithson
GB8932865,http://bnb.data.bl.uk/id/resource/010734925,Bath and the eighteenth century novel,1989,0861970721,Mary K. Hill
GB7620901,http://bnb.data.bl.uk/id/resource/012026462,A walk along the canal in Bath,1976,090157175X,Valerie Edna Bowyer
GB97Y6193,http://bnb.data.bl.uk/id/resource/010079286,The killing of Sally Keemer,1997,0575063467,Christopher Lee
GB8727124,http://bnb.data.bl.uk/id/resource/010077907,"Tales from the pump room : nine hundred years of Bath : the place, its people and its gossip",1988,0575039655,Thomas Hinde
GB7221204,http://bnb.data.bl.uk/id/resource/008351648,"Yesterday in Bath : a camera record, 1849-1949",1972,0273318543,Adrian Ball
GB7019409,http://bnb.data.bl.uk/id/resource/012231911,Kingswood School in Wesley's day and since,1970,0716201631,Arthur Glendinning Ives
GBA404663,http://bnb.data.bl.uk/id/resource/009483438,In the footsteps of Jane Austen through Bath to Lyncombe and Widcombe : a walk through history,2003,0952821060,Janet Aylmer
GBB098759,http://bnb.data.bl.uk/id/resource/015630014,The Penningtons,2010,0727869884,Pamela Oldfield
GB9713314,http://bnb.data.bl.uk/id/resource/007410650,English Heritage book of Roman Bath,1995,0713478926,Barry W. Cunliffe
GB7700538,http://bnb.data.bl.uk/id/resource/012681733,"Barrow Mead, Bath, 1964 : excavation of a medieval peasant house",1976,0904531317,Jayne Woodhouse
GBA9A5299,http://bnb.data.bl.uk/id/resource/014552736,Joyce and Edie in Bath,2007,0948975814,Christine Jump
GBB258635,http://bnb.data.bl.uk/id/resource/016105231,Emerald flame,1997,0783880707,Virginia Coffman
GBA978174,http://bnb.data.bl.uk/id/resource/014548060,The essential Roman baths,2006,1857594665,Stephen Bird
GB7703204,http://bnb.data.bl.uk/id/resource/012026465,Portraits of Bath,1976,0901571784,John Tompkins
GBA2V9425,http://bnb.data.bl.uk/id/resource/012642332,The bargain,2002,0709071175,Melinda Hammond
GBB189229,http://bnb.data.bl.uk/id/resource/015856369,The wrong Miss Richmond,2011,1410435350,Sandra Wilson
GB7113773,http://bnb.data.bl.uk/id/resource/007689987,Georgian summer : Bath in the eighteenth century,1971,0239000838,David Gadd
GBA606933,http://bnb.data.bl.uk/id/resource/006914706,"Stuart Bath : life in the forgotten city, 1603-1714",2004,0952024950,John Wroughton
GB99Y3557,http://bnb.data.bl.uk/id/resource/011316565,Funeral music,1998,0340718463,Morag Joss
GBA661055,http://bnb.data.bl.uk/id/resource/013508008,The Mantua-maker's beau,2006,1594144524,Anne Holman
GB9502411,http://bnb.data.bl.uk/id/resource/008809943,A window on Bath : eight walks in Bath,1994,0948975385,Kirsten Elliott
GB9981759,http://bnb.data.bl.uk/id/resource/011356006,"Medicine and charity in Georgian Bath : a social history of the General Infirmary, c.1739-1830",1999,0754600602,Anne Borsay
GBA045903,http://bnb.data.bl.uk/id/resource/008809959,Exploring Bath,2000,0948975571,Keith Dallimore
GBA879241,http://bnb.data.bl.uk/id/resource/013089114,Awash with ale : 2000 years of imbibing in Bath,2004,0954613813,Kirsten Elliott
GB98Z0450,http://bnb.data.bl.uk/id/resource/010079287,The killing of Cinderella : a Bath detective mystery,1998,0575063475,Christopher Lee
GB7527934,http://bnb.data.bl.uk/id/resource/010067822,Bath : an architectural guide,1975,0571107508,Charles Robertson
GB7105413,http://bnb.data.bl.uk/id/resource/010321346,Roman Bath discovered,1971,0710068263,Barry W. Cunliffe
GBA510003,http://bnb.data.bl.uk/id/resource/013100591,The imaginary autocrat : Beau Nash and the invention of Bath,2005,1861973020,John Eglin
GB7028733,http://bnb.data.bl.uk/id/resource/012244898,"Bath, medicine and the waters",1970,0901591106,George Durant Kersley
GBA634349,http://bnb.data.bl.uk/id/resource/013432166,The adventuress,2006,1846173604,Ann Barker
GB8537642,http://bnb.data.bl.uk/id/resource/010734921,Memoirs of a street urchin,1984,0861970519,Louie Stride
GBB0E0846,http://bnb.data.bl.uk/id/resource/015349689,Bath gyratory : 3 bridges walk,2009,0956290019,Barb Drummond
GB6924963,http://bnb.data.bl.uk/id/resource/012241427,"Bath and Bristol, with the Counties of Somerset and Gloucester, displayed in a series of views : including the modern improvements, picturesque scenery, antiquities, &c.",1969,0900409142,Thomas H. Shepherd
GBA9C0044,http://bnb.data.bl.uk/id/resource/015438448,A Jarrold guide to the Georgian city of Bath,2000,0711706700,Richard Bailey
GB7115529,http://bnb.data.bl.uk/id/resource/012256301,Guide to the Roman remains of Bath,1970,0950187100,Barry W. Cunliffe
GBA8B1003,http://bnb.data.bl.uk/id/resource/013640868,Tudor Bath : life and strife in the 'little city' 1485-1603,2006,0952024969,John Wroughton
GBA682108,http://bnb.data.bl.uk/id/resource/013563004,Absolute honour,2007,075317796X,C. C. Humphreys
GBA0Z2224,http://bnb.data.bl.uk/id/resource/012641888,Time of wonder,2000,0709066376,Maisie Hampton
GBB435058,http://bnb.data.bl.uk/id/resource/016638498,Killing Jane Austen,2014,1909520276,J. G. Goodhind
GB9010327,http://bnb.data.bl.uk/id/resource/008807800,The city of Bath,1990,0948661127,Colin Baxter
GB7703204,http://bnb.data.bl.uk/id/resource/012026465,Portraits of Bath,1976,0901571806,John Tompkins
GB7610540,http://bnb.data.bl.uk/id/resource/008813412,"Prior Park, its history and description",1975,0950474908,Bryan D. G. Little
GBB023846,http://bnb.data.bl.uk/id/resource/014551980,A century of Bath,2007,0750949252,David Falconer
GB8615206,http://bnb.data.bl.uk/id/resource/010742935,The city of Bath,1986,0862992974,Barry W. Cunliffe
GBB279955,http://bnb.data.bl.uk/id/resource/016147936,The story of Roman Bath,2012,1445610906,Pat Southern
GBA656159,http://bnb.data.bl.uk/id/resource/013495224,Bath curiosities,2006,1841585033,Michael Raffael
GB7521215,http://bnb.data.bl.uk/id/resource/012026460,Walking in and around Bath,1975,0901571725,Charles Greenwood
GBA315800,http://bnb.data.bl.uk/id/resource/010123819,Jane Austen in Bath,2002,0953817415,Jean Freeman
GBA1U9049,http://bnb.data.bl.uk/id/resource/010087173,A necessary evil,2002,074726628X,Hannah March
GB7316337,http://bnb.data.bl.uk/id/resource/010323181,Bath,1973,0713400781,John Haddon
GBA3V7187,http://bnb.data.bl.uk/id/resource/007049129,Bath : the golden years : from the archives of the Bath Chronicle,2003,1841143049,Theresa Ford
GBA367383,http://bnb.data.bl.uk/id/resource/010127732,Hot Bath : the story of the Spa,2003,0954519000,Giles White
GBB168484,http://bnb.data.bl.uk/id/resource/015820942,"'Finished labour of a thousand hands' : the archaeology of the Combe Down Stone Mines, Bath, Somerset",2011,0904220605,L. M. Willies
GB9351295,http://bnb.data.bl.uk/id/resource/009476434,A community at war : the civil war in Bath and North Somerset 1642-1650,1992,095202490X,John Wroughton
GB8835869,http://bnb.data.bl.uk/id/resource/007441467,The new Bath guide,1989,0906798957,Yvonne Whiteman
GB9405306,http://bnb.data.bl.uk/id/resource/010725351,The buildings of Bath,1993,0750902566,Richard K. Morriss
GBA988575,http://bnb.data.bl.uk/id/resource/015366158,Death is the cure,2009,0709089554,Nicola Slade
GB8812154,http://bnb.data.bl.uk/id/resource/012687913,Georgian summer : the rise and development of Bath,1987,0905392604,David Gadd
GBA606890,http://bnb.data.bl.uk/id/resource/008979263,Bath : valley of the sacred spring,2004,0954517504,Kim Green
GBA0Z1083,http://bnb.data.bl.uk/id/resource/011316566,Fearful symmetry,2000,034071848X,Morag Joss
GBA0V1692,http://bnb.data.bl.uk/id/resource/008809963,One man's Bath,2000,0948975628,Richard Askew
GB8539792,http://bnb.data.bl.uk/id/resource/012025351,Known at this address,1982,0901303151,Lesley Flash
GB99X8197,http://bnb.data.bl.uk/id/resource/008389948,The killing of Cinderella : a bath mystery,1999,0753160307,Christopher Lee
GBA535977,http://bnb.data.bl.uk/id/resource/013185205,The adventuress,2005,0709078803,Ann Barker
GB8751975,http://bnb.data.bl.uk/id/resource/007403064,Bath,1987,0712615075,Edith Sitwell
